USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CO|0828690|1600000US0828690|02412661|Frisco town|43|A|4321370|277556|1.668|0.107|39.578482|-106.090973
CO|0828745|1600000US0828745|02410553|Fruita city|25|A|20744203|753819|8.009|0.291|39.155567|-108.729584
CO|0828800|1600000US0828800|02408269|Fruitvale CDP|57|S|7308016|0|2.822|0.|39.093413|-108.478823
CO|0828830|1600000US0828830|02583237|Fulford CDP|57|S|574653|506|0.222|0.|39.518492|-106.65874
CO|0829185|1600000US0829185|02412667|Garden City town|43|A|292412|0|0.113|0.|40.394591|-104.689494
CO|0829240|1600000US0829240|02805922|Gardner CDP|57|S|6402785|0|2.472|0.|37.788866|-105.164458
CO|0829295|1600000US0829295|02583238|Garfield CDP|57|S|882897|0|0.341|0.|38.549268|-106.289276
CO|0829625|1600000US0829625|02408287|Genesee CDP|57|S|17147253|14724|6.621|0.006|39.687901|-105.271205
CO|0829680|1600000US0829680|02412675|Genoa town|43|A|803517|0|0.31|0.|39.278218|-103.498717
CO|0829735|1600000US0829735|02412677|Georgetown town|43|A|2590487|262404|1.|0.101|39.717886|-105.694488
CO|0829845|1600000US0829845|02583239|Gerrard CDP|57|S|3102270|0|1.198|0.|37.678349|-106.575247
CO|0829955|1600000US0829955|02412683|Gilcrest town|43|A|2100358|0|0.811|0.|40.284156|-104.782024
CO|0830340|1600000US0830340|02410598|Glendale city|25|A|1471186|5724|0.568|0.002|39.703052|-104.936157
CO|0830350|1600000US0830350|02583240|Glendale CDP|57|S|3250995|0|1.255|0.|40.086911|-105.371546
CO|0830420|1600000US0830420|02408300|Gleneagle CDP|57|S|5991153|13400|2.313|0.005|39.039873|-104.825359
CO|0830780|1600000US0830780|02410605|Glenwood Springs city|25|A|15112453|21321|5.835|0.008|39.547132|-107.342556
CO|0830835|1600000US0830835|02410611|Golden city|25|A|24969974|239970|9.641|0.093|39.742483|-105.210561
CO|0830890|1600000US0830890|02583241|Goldfield CDP|57|S|364824|0|0.141|0.|38.717645|-105.125328
CO|0830945|1600000US0830945|02408304|Gold Hill CDP|57|S|5375701|0|2.076|0.|40.059739|-105.418919
CO|0831550|1600000US0831550|02412698|Granada town|43|A|1774934|0|0.685|0.|38.062973|-102.311591
CO|0831605|1600000US0831605|02412699|Granby town|43|A|32844772|0|12.681|0.|40.064803|-105.919386
CO|0831660|1600000US0831660|02410631|Grand Junction city|25|A|105608784|1160912|40.776|0.448|39.089062|-108.567452
CO|0831715|1600000US0831715|02412701|Grand Lake town|43|A|2789978|7335|1.077|0.003|40.246542|-105.826435
CO|0831935|1600000US0831935|02408317|Grand View Estates CDP|57|S|2584211|50590|0.998|0.02|39.542958|-104.822634
CO|0832155|1600000US0832155|02410654|Greeley city|25|A|131081555|939053|50.611|0.363|40.414034|-104.771043
CO|0832650|1600000US0832650|02412708|Green Mountain Falls town|43|A|3002004|4117|1.159|0.002|38.934954|-105.019664
CO|0833035|1600000US0833035|02410661|Greenwood Village city|25|A|21300812|32085|8.224|0.012|39.615934|-104.911688
CO|0833310|1600000US0833310|02412712|Grover town|43|A|1542183|0|0.595|0.|40.869111|-104.225932
CO|0833420|1600000US0833420|02629988|Guffey CDP|57|S|22466123|52654|8.674|0.02|38.760651|-105.509821
CO|0833502|1600000US0833502|02408343|Gunbarrel CDP|57|S|16177603|155270|6.246|0.06|40.063185|-105.171697
CO|0833640|1600000US0833640|02410674|Gunnison city|25|A|12557711|0|4.849|0.|38.547978|-106.924604
